doct_Id,dept_Id,FName,LName,Gender,contact_No,surgeon_Type,office_No
1110,111,Dr. Quratul,Ain Sajida,F,+92 3260532925,,177
1111,112,Dr. Furqan,Ahmed,M,+92 3424094366,,191
1112,112,Dr. Tahir,A. Shah,M,+92 3241490711,,191
1113,112,Dr. Noreen,Iftikhar Bano,F,+92 3209074266,,192
1114,112,Dr. Samia,Malik,F,+92 3241148333,,192
1115,112,Dr. Tazeen,Muneer,F,+92 3275475011,,193
1116,112,Dr. Tayyaba,Iqbal,F,+92 3456251914,,193
1117,113,Dr. Muhammad,Hassaan Ali,M,+92 3331155472,,206
1118,113,Dr. Siri,ChAnd,F,+92 3339907526,,206
1119,113,Dr. Samina,Hayat,F,+92 3235418820,,207
1120,113,Dr. Nida,Wahid,F,+92 3510401755,,207
1121,113,Dr. Samina,Siddique,F,+92 3095583269,,207
1122,114,Dr. Wajid,Yar Khan,M,+92 3391070450,,221
1123,114,Dr. Atiq,Ahmed Khan,M,+92 3329386545,,221
1124,114,Dr. Farha,Idris,F,+92 3084492779,,222
1125,114,Dr. Umber,Jalil Bakhtiar,F,+92 3450549295,,222
1126,115,Dr. Usman,Ali Rahman,M,+92 3138719069,,236
1127,115,Dr. Abu,Noem Faruqui,M,+92 3427442694,,236
1128,115,Dr. Ismail,Hirani,M,+92 3078448635,,237
1129,115,Dr. Kiran,Usman,F,+92 3353861269,,237
1130,115,Dr. Anila,Jamshed,F,+92 3252925213,,237
1131,116,Dr. Syed,Nauman Bazmi Inam,M,+92 3159218611,,251
1132,116,Dr. Muhammad,Saeed Alam,M,+92 3030741876,,251
1133,116,Dr. Omer,Ehsan,M,+92 3534702703,,252
1134,116,Dr. Nauman,Ahmed,M,+92 3586282082,,252
1135,116,Dr. Khalid,Umar Gill,M,+92 3160570751,,253
1136,116,Dr. Muhammad,Ayaz Mir,M,+92 3199540311,,253
1137,116,Dr. Syed,Imtiaz Ali,M,+92 3387052978,,254
1138,116,Dr. Waseem,Rehman,M,+92 3378993773,,254
1139,116,Dr. Salman,Ahmad Saleem,M,+92 3029449731,,255
1140,116,Dr. Ahmad,Fawad Ali,M,+92 3248393806,,255
1141,116,Dr. Faisal,Qamar,M,+92 3493279428,,256
1142,116,Dr. Mussadiq,Khan,M,+92 3509973055,,256
1143,116,Dr. Sadaf,Yousaf,F,+92 3143802768,,257
1144,116,Dr. Saima,Aziz,F,+92 3492390657,,257
1145,116,Dr. Rohina,Gul,F,+92 3594912899,,258
1146,116,Dr. Hina,Rahim,F,+92 3453833190,,258
1147,117,Dr. Nabeel,Iqbal,M,+92 3033828508,General Surgeon,
1148,117,Dr. Rameez,Chaudhary,M,+92 3082794680,Trauma Surgeon,
1149,117,Dr. Imran,Hameed,M,+92 3012538245,Cardiothoracic Surgeon,
1150,117,Dr. Abu,Bakar Hafeez Bhatti,M,+92 3166186597,Neurosurgeon,
1151,117,Dr. Muhammad,Faiq,M,+92 3375104786,Orthopedic Surgeon,
1152,117,Dr. Talha,Abdul Halim,M,+92 3497412269,Plastic Surgeon,
1153,117,Dr. Aamir,Jalil,M,+92 3467401888,Pediatric Surgeon,
1154,117,Dr. Pervez,Iqbal,M,+92 3432900853,Vascular Surgeon,
1155,117,Dr. Zafar,Fayyaz,M,+92 3564077891,Colorectal Surgeon,
1156,117,Dr. Muhammad,Karamat,M,+92 3550939565,Transplant Surgeon,
1157,117,Dr. Muhammad,Aamir Saghir,M,+92 3589332315,Oncologic Surgeon,
1158,117,Dr. Mohammad,Iqbal Adil,M,+92 3585305471,Endocrine Surgeon,
1159,117,Dr. Ajmal,Hasan Naqvi,M,+92 3253709798,Urologic Surgeon,
1160,117,Dr. Rab,Nawaz Ali,M,+92 3073587201,Gynecologic Surgeon,
1161,117,Dr. Syed,Mehmood-ul Haq,M,+92 3266195852,Hepatobiliary Surgeon,
1162,117,Dr. Mehboob,Ahmed,M,+92 3105043568,Bariatric Surgeon,
1163,117,Dr. Aamer,Nabi Noor,M,+92 3036799691,Ophthalmic Surgeon,
1164,117,Dr. Akbar,Khan,M,+92 3014344780,Otolaryngologic (ENT) Surgeon,
1165,117,Dr. Javaid,Iqbal,M,+92 3058768983,Maxillofacial Surgeon,
1166,117,Dr. Bilal,Asghar,M,+92 3031019390,Thoracic Surgeon,
1167,117,Dr. Anwaar,A.Khan,M,+92 3130529109,HAnd Surgeon,
1168,117,Dr. Muhammad,Saeed,M,+92 3151653498,Foot And Ankle Surgeon,
1169,117,Dr. Waqas,Javed,M,+92 3032473445,Spinal Surgeon,
1170,117,Dr. Shakil,Aqil,M,+92 3310032283,Craniofacial Surgeon,
1171,117,Dr. Faisal,Amin Baig,M,+92 3214465024,Reconstructive Microsurgeon,
1172,117,Dr. Muhammad,Tahir Ibrahim,M,+92 3154525521,Laparoscopic Surgeon,
1173,117,Dr. Imran,Sharif,M,+92 3080843753,Robotic Surgeon,
1174,117,Dr. Muhammad,Jawad Saleem,M,+92 3249473333,Gastrointestinal Surgeon,
1175,117,Dr. Sumera,Memon,F,+92 3064708032,Fetal Surgeon,
1176,117,Dr. Lubna,Zubair,F,+92 3175861674,Neonatal Surgeon,
1177,117,Dr. Nusrat,Shah Kamal,F,+92 3550516466,Dermatologic Surgeon,
1178,117,Dr. Fauzia,Anjum,F,+92 3081954939,Emergency Surgeon,
1179,117,Dr. Fozia,Akmal,F,+92 3216993115,Proctologic Surgeon,
1180,117,Dr. Ayesha,Mahrukh,F,+92 3204606940,Burn Surgeon,
1181,117,Dr. Huma,Tasleem,F,+92 3213619185,Oral Surgeon,
1182,117,Dr. Shamim,Ahmed Khan,F,+92 3477425451,Peripheral Nerve Surgeon,
1183,117,Dr. Sitwat,Fareed,F,+92 3451198282,Transoral Surgeon,
1184,117,Dr. Samina,Haq,F,+92 3211869356,Chest Wall Surgeon,
1185,118,Dr. Muhammad,Tahir Chaudhry,M,+92 3088451300,,301
1186,118,Dr. Safdar,Ali Khan,M,+92 3043755766,,301
1187,118,Dr. Ahmad,Raza Jawaid,M,+92 3252773233,,302
1188,118,Dr. Ayesha,Khan,F,+92 3559744179,,302
1189,118,Dr. Ambreen,Haider,F,+92 3588851796,,302
1190,119,Dr. Haroon,Ayub,M,+92 3459756016,,316
1191,119,Dr. Salman,Kazim,M,+92 3193550224,,316
1192,119,Dr. Intzar,Hussain Butt,M,+92 3062960118,,317
1193,119,Dr. Ghulam,Siddiq,M,+92 3013517010,,317
1194,119,Dr. Rubina,Iqbal,F,+92 3203071460,,318
1195,119,Dr. Ayesha,Ehsan,F,+92 3565645003,,318
1196,120,Dr. Nisar,Ahmed Shaikh,M,+92 3190532041,,331
1197,120,Dr. Irfan,Majid,M,+92 3450691842,,331
1198,120,Dr. Usama,Javaid,M,+92 3269447300,,332
1199,120,Dr. Aamer,Nazir Ahmad,M,+92 3341532791,,332
1200,120,Dr. Shama,Munim,F,+92 3247893482,,333
1201,120,Dr. Farhat,Iqbal,F,+92 3090883482,,333
1202,121,Dr. Muhammad,Nawaz Anjum,M,+92 3246008881,,346
1203,121,Dr. Raees,Farhan Mushtaq,M,+92 3322294153,,346
1204,121,Dr. Muhammad,Burhan Ayub,M,+92 3489618613,,347
1205,121,Dr. Junaid,Zaman,M,+92 3004400297,,347
1206,121,Dr. Sunil,Dutt Sachdev,M,+92 3394358786,,348
1207,121,Dr. Ghansham,Rawtani,M,+92 3093232819,,348
1208,121,Dr. Mukhtar,Ahmed,M,+92 3205771159,,349
1209,121,Dr. Talat,Naheed,M,+92 3544976859,,349
1210,121,Dr. Amir,Noor Nabi,M,+92 3581309694,,350
1211,121,Dr. Mohammad,Zafar Rabbani,M,+92 3485464964,,350
1212,121,Dr. Fawad,Ur Rehman,M,+92 3410995038,,351
1213,121,Dr. Hassan,Shoukat Rana,M,+92 3234655418,,351
1214,121,Dr. Touqeer,Akbar,M,+92 3407122440,,352
1215,121,Dr. Mohammad,Shaukat,M,+92 3598107268,,352
1216,121,Dr. Syed,Mohsin Ahmed,M,+92 3521555695,,353
1217,121,Dr. Fakhar,Naseeb,M,+92 3343511922,,353
1218,121,Dr. Shariq,Sohail,M,+92 3175415157,,354
1219,121,Dr. Aijaz,Zeeshan,M,+92 3116529469,,354
1220,121,Dr. Pervez,Khan,M,+92 3501232015,,355
1221,121,Dr. Asim,Afaq,M,+92 3371387811,,355
1222,121,Dr. Fazal,Ameen,M,+92 3576170972,,356
1223,121,Dr. Muhammad,Zakria,M,+92 3456367591,,356
1224,121,Dr. Farrukh,Zaman,M,+92 3002565565,,357
1225,121,Dr. Munir,Amin Mughal,M,+92 3145404277,,357
1226,121,Dr. Zubair,Abbasi,M,+92 3544561490,,358
1227,121,Dr. Saeed,Akhtar,M,+92 3409407098,,358
1228,121,Dr. Syed,Ajmal Kazmi,M,+92 3593295932,,359
1229,121,Dr. Shaheen,M. Mufti,M,+92 3079297835,,359
1230,121,Dr. Syed,Muhammad Afaque,M,+92 3455402792,,360
1231,121,Dr. Muhammad,Ali Rafique,M,+92 3003725579,,360
1232,121,Dr. Ifran,Bakhshi,M,+92 3090031241,,361
1233,121,Dr. Ahmad,Ali,M,+92 3463733126,,361
1234,121,Dr. Muhammad,Asif Paracha,M,+92 3109033107,,362
1235,121,Dr. Shahzad,Majeed Bhatti,M,+92 3248387648,,362
1236,121,Dr. Shah,Saleem,M,+92 3467620043,,362
1237,121,Dr. Maria,Shabbir,F,+92 3142741231,,363
1238,121,Dr. Nida,Hassan,F,+92 3027604776,,363
1239,121,Dr. Azmina,Khan,F,+92 3477042598,,363
1240,121,Dr. Sidra,Iqbal,F,+92 3533608372,,364
1241,121,Dr. Jaida,Manzoor,F,+92 3581922921,,364
1242,121,Dr. Afreen,Zubair,F,+92 3048703962,,364
1243,121,Dr. Ayesha,A. Saleem,F,+92 3444332928,,365
1244,121,Dr. Saadia,Virk Rizvi,F,+92 3108893833,,365
1245,121,Dr. Sundes,Jawaid Khokhar,F,+92 3222560229,,365
1246,121,Dr. Sadaf,Siddique,F,+92 3501472065,,366
1247,121,Dr. Yasmeen,Shaheed,F,+92 3497585709,,366
1248,121,Dr. Asifa,Abbas,F,+92 3315302580,,366
1249,122,Dr. Muhammad,Israr,M,+92 3041156107,,376
1250,122,Dr. Quaid,Jauhar,M,+92 3216860057,,376
1251,122,Dr. Zahra,Mahmood,F,+92 3238415728,,377
1252,122,Dr. Nosheen,Waheed,F,+92 3338314400,,377
1253,122,Dr. Khadija,Khan,F,+92 3279316270,,377
1254,123,Dr. Muhammad,Usman,M,+92 3048720024,,391
1255,123,Dr. Muhammad,Hussain,M,+92 3149754680,,391
1256,123,Dr. Kashif,Sadruddin,M,+92 3220428247,,392
1257,123,Dr. Fahim,Khan,M,+92 3015734262,,392
1258,123,Dr. Shahid,Khan,M,+92 3190751964,,393
1259,123,Dr. Asif,Imam,M,+92 3102091841,,393
1260,123,Dr. Uzma,Qasim,F,+92 3353732376,,394
1261,123,Dr. Nighat,Khalid,F,+92 3013908014,,394
1262,123,Dr. Bushra,Ammad Taimuri,F,+92 3329779620,,395
1263,123,Dr. Shazia,Riaz,F,+92 3131900780,,395
1264,124,Dr. Shahid,Mehmood,M,+92 3041026652,,406
1265,124,Dr. Muhammad,Tayyab Badshah,M,+92 3027350129,,406
1266,124,Dr. Naeem,ul Hameed,M,+92 3410334033,,407
1267,124,Dr. Anum,Tanwir,F,+92 3175362684,,407
1268,124,Dr. Alia,Bashir,F,+92 3380579385,,408
1269,124,Dr. Aamna,Batool Khan,F,+92 3189743196,,408
1270,125,Dr. Abid,Qazi,M,+92 3326043365,,421
1271,125,Dr. Zahid,Asgher,M,+92 3432484902,,421
1272,125,Dr. Saadia,Sharif,F,+92 3340111908,,422
1273,125,Dr. Hajira,Hanif,F,+92 3050392158,,422
1274,125,Dr. Sumbal,Altaf,F,+92 3355487595,,422
1275,126,Dr. Sajeel,Ijaz,M,+92 3546436825,,436
1276,126,Dr. Muhammad,Afaq,M,+92 3141963071,,436
1277,126,Dr. Mohammad,Tufail Ijaz,M,+92 3324054714,,437
1278,126,Dr. Nazia,Rafique,F,+92 3261994061,,437
1279,126,Dr. Samina,Habib,F,+92 3162793226,,438
1280,126,Dr. Ayesha,Khalil,F,+92 3466456475,,438
1281,127,Dr. Rashid,Naeem Siddiqi,M,+92 3438122176,,446
1282,127,Dr. Syed,Owais Alam Zaidi,M,+92 3174238027,,446
1283,127,Dr. Muhammad,Suhail Arif,M,+92 3197992551,,447
1284,127,Dr. Amjad,Saeed Mian,M,+92 3537926030,,447
1285,127,Dr. Muhammad,Asim Khan,M,+92 3469124190,,448
1286,127,Dr. Shahryar,Ahmad Sheikh,M,+92 3312503515,,448
1287,127,Dr. Saad,Naveed,M,+92 3438986363,,449
1288,127,Dr. Ashraf,Ali Khan,M,+92 3047073304,,449
1289,127,Dr. Muhammad,Ramzan Ch,M,+92 3363799519,,450
1290,127,Dr. Nadir,Ali Syed,M,+92 3068064824,,450
1291,127,Dr. Zeba,Aziz,F,+92 3551343820,,450
1292,127,Dr. Ambreen,Kashif,F,+92 3002215280,,451
1293,127,Dr. Nayab,Zahra,F,+92 3541694778,,451
1294,127,Dr. Zuhera,Khan,F,+92 3150871412,,451
1295,127,Dr. Shahina,Jabbar,F,+92 3452643098,,452
1296,127,Dr. Aliya,Naseem,F,+92 3195192280,,452
1297,127,Dr. Sadia,Akram,F,+92 3414071257,,452
1298,127,Dr. Anjum,Afshan,F,+92 3092682779,,453
1299,127,Dr. Sana,Ahmed,F,+92 3004328869,,453
1300,127,Dr. Noreen,Zafar,F,+92 3397232147,,453
1301,128,Dr. Khalid,Ahmed Khalil,M,+92 3044966469,,461
1302,128,Dr. Zia,Ur Rehman,M,+92 3049770820,,461
1303,128,Dr. Mohammad,Baqir Ali Khan,M,+92 3218495030,,462
1304,128,Dr. Humaira,Nasir,F,+92 3130128707,,462
1305,129,Dr. Zaman,Sherani,M,+92 3184239936,,471
1306,129,Dr. Zaen,Al Abideen,M,+92 3260880216,,471
1307,129,Dr. Muhammad,Ashraf,M,+92 3274898320,,472
1308,129,Dr. Ali,Raza Jafri,M,+92 3228533118,,472
1309,129,Dr. Umair,Abu Bakar Siddiq,M,+92 3205170077,,473
1310,129,Dr. Shahid,Mehmood,M,+92 3316089111,,473
1311,129,Dr. Shahid,Iqbal,M,+92 3585119636,,474
1312,129,Dr. Muhammad,A Hashmi,M,+92 3077952756,,474
1313,129,Dr. Atiq,Durrani,M,+92 3413990112,,475
1314,129,Dr. Abdul,Rehman,M,+92 3095206806,,475
1315,129,Dr. Nayer,Mahmood,M,+92 3043054039,,476
1316,129,Dr. Raja,Shehzad,M,+92 3004304511,,476
1317,129,Dr. Shafqat,Waqar Khanzada,M,+92 3234005062,,476
1318,129,Dr. Siraj,Salekeen,M,+92 3540499913,,477
1319,129,Dr. Sayed,Javed Wasim,M,+92 3098810514,,477
1320,129,Dr. Nauman,Hussain Rajput,M,+92 3414554356,,477
1321,129,Dr. Muhammad,Tanweer Khalid,M,+92 3486955560,,477
1322,129,Dr. Habib,Ullah,M,+92 3433282491,,478
1323,129,Dr. Talat,Mehmood,M,+92 3458829529,,478
1324,129,Dr. Khalid,Mahmud Khan,M,+92 3046469189,,478
1325,129,Dr. Syed,Muhammad Abdullah,M,+92 3113060379,,478
1326,129,Dr. Amir,Jalil,M,+92 3464621814,,479
1327,129,Dr. Akhtar,Fareed Siddiqui,M,+92 3149816744,,479
1328,129,Dr. Furqan,Khan,M,+92 3513609574,,479
1329,129,Dr. Atif,Munir,M,+92 3475827394,,479
1330,129,Dr. Mohammad,Asim Khan,M,+92 3332476633,,480
1331,129,Dr. Jawed,Arshad,M,+92 3567501320,,480
1332,129,Dr. Faeza,Ubaid,F,+92 3223706234,,480
1333,129,Dr. Rubina,Sohail,F,+92 3198356300,,480
1334,129,Dr. Sabhita,Shabbir,F,+92 3513975672,,481
1335,129,Dr. Nausheen,Nabeel,F,+92 3438311600,,481
1336,129,Dr. Ayesha,Shahid Sheikh,F,+92 3037518962,,481
1337,129,Dr. Sabeen,Masroor,F,+92 3042291721,,481
1338,129,Dr. Sadia,Mohsin,F,+92 3179995887,,482
1339,129,Dr. S.,Rabia,F,+92 3591951686,,482
1340,129,Dr. Nazeefa,Javed,F,+92 3189166273,,482
1341,129,Dr. Shifa,Ali,F,+92 3447275136,,482
1342,130,Dr. Muhammad,Tariq Farman,M,+92 3543794375,,491
1343,130,Dr. Muhammad,Awaid Abid,M,+92 3345446894,,491
1344,130,Dr. Iqtedar,Taufiq,M,+92 3131897451,,491
1345,130,Dr. Muhammad,Abid Butt,M,+92 3466174638,,491
1346,130,Dr. Sohail,Siddique,M,+92 3478454567,,492
1347,130,Dr. Saeed,A Bajwa,M,+92 3415543128,,492
1348,130,Dr. Aftab,Awan,M,+92 3137149375,,492
1349,130,Dr. Munir,Ahmad,M,+92 3310715577,,492
1350,130,Dr. Saeed,Zameer,M,+92 3224056595,,493
1351,130,Dr. Jamal,Abdul Nasir,M,+92 3137312022,,493
1352,130,Dr. Fahad,Aman Khan,M,+92 3492670881,,493
1353,130,Dr. Jamshed,Nasir,M,+92 3120593096,,493
1354,130,Dr. Syed,Arsalan Khalid,M,+92 3095927144,,494
1355,130,Dr. Shohab,Hyder Shaikh,M,+92 3013946340,,494
1356,130,Dr. Muhammad,Arshad Alvi,M,+92 3075571174,,494
1357,130,Dr. Naseem,Zaman,M,+92 3338150665,,494
1358,130,Dr. Mansoor,Ali Khan,M,+92 3252489644,,495
1359,130,Dr. Shahid,Hussain,M,+92 3141779667,,495
1360,130,Dr. Javed,Raza Gardezi,M,+92 3072922818,,495
1361,130,Dr. Najam,Ud Din,M,+92 3329652192,,495
1362,130,Dr. Rehan,Abbas Khan,M,+92 3244586753,,496
1363,130,Dr. Misauq,Mazcuri,M,+92 3391236597,,496
1364,130,Dr. Muhammad,Farrukh,M,+92 3051864749,,496
1365,130,Dr. Asad,Raza Jafri,M,+92 3551482345,,496
1366,130,Dr. Syed,Anwar Ahmed,M,+92 3392359021,,497
1367,130,Dr. Bashir,Ahmed Sheikh,M,+92 3073922166,,497
1368,130,Dr. Atif,Javed,M,+92 3111791934,,497
1369,130,Dr. Naseer,Ahmed Chaudhry,M,+92 3065615400,,497
1370,130,Dr. Tahir,Saghir,M,+92 3242893873,,498
1371,130,Dr. Noshad,Shaikh,M,+92 3509825131,,498
1372,130,Dr. Asif,Ali Khan,M,+92 3382754408,,498
1373,130,Dr. Muhammad,Suleman Khan,M,+92 3116707324,,499
1374,130,Dr. Nasir,Ahmed,M,+92 3322937293,,499
1375,130,Dr. Navaid,Akhtar,M,+92 3177374986,,499
1376,130,Dr. Khalid,Maqsood,M,+92 3118678491,,499
1377,130,Dr. Ishfaque,Ahmed,M,+92 3007109650,,500
1378,130,Dr. Hannah,Pasha Memon,F,+92 3321293214,,500
1379,130,Dr. Sakina,Abidi,F,+92 3480484308,,500
1380,130,Dr. Shenaz,Kausar,F,+92 3267262364,,500
1381,130,Dr. Fareeha,Khaliq Khan,F,+92 3467768807,,501
1382,130,Dr. Falak,Niaz,F,+92 3224803870,,501
1383,130,Dr. Sarah,Ikram,F,+92 3369998984,,501
1384,130,Dr. Sadaf,Sadiq,F,+92 3258048469,,501
1385,130,Dr. Iram,Gul,F,+92 3555146571,,502
1386,130,Dr. Wajeeha,Elahi,F,+92 3473782061,,502
1387,130,Dr. Intekhab,Taufiq,F,+92 3124924046,,502
1388,130,Dr. Memoona,Faiyaz,F,+92 3155653174,,502
1389,130,Dr. Afreen,Zubair,F,+92 3233954417,,503
1390,130,Dr. Farhat,Batol,F,+92 3570963457,,503
1391,130,Dr. ArjamAnd,Shauq,F,+92 3326431631,,503
1392,130,Dr. Ayisha,Kausar,F,+92 3005881234,,503
1393,131,Dr. Syed,Muneeb Younus,M,+92 3245438641,,522
1394,131,Dr. Muhammad,Jawad Zafar,M,+92 3544029485,,522
1395,131,Dr. Sayeed,Ahmed,M,+92 3195630220,,523
1396,131,Dr. Irfan,Ahmad,M,+92 3382442301,,523
1397,131,Dr. Agha,Sajjad,M,+92 3228054435,,524
1398,131,Dr. Hira,Liaqat,F,+92 3552205452,,524
1399,131,Dr. Jah,Mirza,F,+92 3348931704,,525
1400,131,Dr. Yasmeen,Bhatty,F,+92 3072675699,,525
